review_id,review_text,overall_label,overall_score_raw,overall_numeric,per_category_scores,rating_stars
R038,Exceeded expectations — smooth day-to-day performance and solid battery life.,positive,0.9457792639732361,0.9457792639732361,"{""battery"": 0.9457792639732361, ""performance"": 0.9457792639732361}",4.89
R039,"Calls are clear most of the time, though sometimes the mic sounds distant.",neutral,0.6997353434562683,0.0,{},3.0
R040,Dependable for daily use; haven't experienced major issues.,neutral,0.6536622643470764,0.0,{},3.0
R041,Security updates are infrequent and I had to wait a long time for a patch.,negative,0.8741214871406555,-0.8741214871406555,{},1.25
R042,Premium feel and smooth glass back; worth the price for me.,positive,0.7760225534439087,0.7760225534439087,"{""price"": 0.7760225534439087}",4.55
R043,Colors look natural but HDR performance is inconsistent across apps.,negative,0.4819716215133667,-0.4819716215133667,"{""performance"": -0.4819716215133667}",2.04
R044,Great for video calls — both audio and video are reliable.,positive,0.9630031585693359,0.9630031585693359,{},4.93
R045,Charging sometimes stalls and the cable connection feels loose.,negative,0.8804818987846375,-0.8804818987846375,{},1.24
R046,Outstanding performance for heavy multitasking and content creation.,positive,0.8894661664962769,0.8894661664962769,"{""performance"": 0.8894661664962769}",4.78
R047,"Good overall, but I wish the manufacturer offered more bundled storage options.",positive,0.6900466680526733,0.6900466680526733,{},4.38
R048,Lightweight and comfortable — easy to use with one hand.,positive,0.8606366515159607,0.8606366515159607,{},4.72
R049,"After a month, small scratches appeared on the screen despite careful use.",negative,0.6672926545143127,-0.6672926545143127,"{""screen"": -0.6672926545143127}",1.67
R050,Build quality feels sturdy and premium; no creaks or flex.,positive,0.7477571964263916,0.7477571964263916,{},4.5
R051,Zoom is decent but digital zoom loses detail beyond 3x.,neutral,0.5772948265075684,0.0,{},3.0
R052,"Ample storage for apps and media, hasn't been an issue.",neutral,0.5831526517868042,0.0,{},3.0
R053,Auto-brightness oscillates and is distracting in mixed lighting.,negative,0.6628141403198242,-0.6628141403198242,{},1.67
R054,Perfect display for movies — colors and contrast are very satisfying.,positive,0.985929548740387,0.985929548740387,{},4.97
R055,"Battery performs well most days, but some days it drains faster than expected.",negative,0.4566516578197479,-0.4566516578197479,"{""battery"": -0.4566516578197479}",2.09
R056,Handles heavy multitasking effortlessly; no lag switching between apps.,positive,0.7781470417976379,0.7781470417976379,{},4.56
R057,Battery significantly degrades after heavy use — doesn't last as advertised.,negative,0.9370235800743103,-0.9370235800743103,"{""battery"": -0.9370235800743103}",1.13
R058,Good mix of style and function — many of my friends asked about it.,positive,0.8161979913711548,0.8161979913711548,{},4.63
R059,"Photos are usually sharp, but sometimes colors look slightly off.",neutral,0.6930004358291626,0.0,{},3.0
R060,Touchscreen responsiveness is excellent; no noticeable lag.,positive,0.9429035186767578,0.9429035186767578,"{""screen"": 0.9429035186767578}",4.89
R061,Random freezes when switching apps — had to force restart a couple of times.,negative,0.6395661234855652,-0.6395661234855652,{},1.72
R062,Apps open instantly and performance remains consistent under load.,positive,0.7003706693649292,0.7003706693649292,"{""performance"": 0.7003706693649292}",4.4
R063,"Good overall sound quality, but bass is a bit lacking for music lovers.",neutral,0.4545477628707886,0.0,{},3.0
R064,Sleek design — looks great and gets noticed without feeling flashy.,positive,0.9609135389328003,0.9609135389328003,"{""design"": 0.9609135389328003}",4.92
R065,Battery life is inconsistent — some days it drains quickly even on light use.,negative,0.9246869087219238,-0.9246869087219238,"{""battery"": -0.9246869087219238}",1.15
R066,Versatile camera system produces great results in most lighting situations.,positive,0.9365737438201904,0.9365737438201904,"{""camera"": 0.9365737438201904}",4.87
R067,"Performance is good, but the phone feels warm after extended use.",positive,0.939864456653595,0.939864456653595,"{""performance"": 0.939864456653595}",4.88
R068,Excellent battery backup — really handy when traveling.,positive,0.9512208104133606,0.9512208104133606,"{""battery"": 0.9512208104133606}",4.9
R069,Display flickers occasionally and requires a reboot to fix.,negative,0.6574898958206177,-0.6574898958206177,{},1.69
R070,Overall a very reliable daily driver with solid battery and performance.,positive,0.931388258934021,0.931388258934021,"{""battery"": 0.931388258934021, ""performance"": 0.931388258934021}",4.86
R071,Lots of customization options but some advanced settings are hidden.,neutral,0.7536560893058777,0.0,{},3.0
R072,Night photography is impressive — low-light shots come out clear.,positive,0.9806153178215027,0.9806153178215027,{},4.96
R073,Phone occasionally disconnects from Wi-Fi and takes time to reconnect.,negative,0.5196774005889893,-0.5196774005889893,{},1.96
R074,Charging speed is excellent — very convenient when short on time.,positive,0.9767909049987793,0.9767909049987793,{},4.95
R075,"Display colors are rich, but automatic color adjustments can be distracting.",negative,0.5117893815040588,-0.5117893815040588,{},1.98
R076,Robust performance across apps; hasn't slowed down since day one.,positive,0.9289204478263855,0.9289204478263855,"{""performance"": 0.9289204478263855}",4.86
R077,Battery performance dropped after a few updates and charging times increased.,negative,0.5835940837860107,-0.5835940837860107,"{""battery"": -0.5835940837860107, ""performance"": -0.5835940837860107}",1.83
R078,Fantastic camera software — photos look great straight out of the phone.,positive,0.9850608706474304,0.9850608706474304,"{""camera"": 0.9850608706474304}",4.97
R079,Gaming runs smoothly but the device can feel slightly heavy during long sessions.,neutral,0.6205365657806396,0.0,{},3.0
R080,Futuristic design and premium materials — really happy with the purchase.,positive,0.9834359288215637,0.9834359288215637,"{""design"": 0.9834359288215637}",4.97
R081,Some customization options cause instability — a few widgets crash intermittently.,negative,0.8787303566932678,-0.8787303566932678,{},1.24
R082,Fast and fluid performance day-to-day; very reliable.,positive,0.8145613074302673,0.8145613074302673,"{""performance"": 0.8145613074302673}",4.63
R083,"Lightweight and portable, but I would've preferred slightly better battery life.",neutral,0.5664265751838684,0.0,"{""battery"": 0.0}",3.0
R084,"Camera captures vibrant, detailed shots consistently.",positive,0.8273561596870422,0.8273561596870422,"{""camera"": 0.8273561596870422}",4.65
R085,"Charging port feels loose after a couple of months of use, worrying for long-term durability.",negative,0.8306092619895935,-0.8306092619895935,{},1.34
R086,Software feels polished and responsive; very snappy navigation.,positive,0.9098547697067261,0.9098547697067261,{},4.82
R087,Definitely recommended — been using it daily without regrets.,positive,0.9290329217910767,0.9290329217910767,{},4.86
R088,Display brightness is excellent — very usable even in bright outdoor conditions.,positive,0.9767826199531555,0.9767826199531555,{},4.95
R089,Battery reliably lasts comfortably through the day even with heavy usage.,positive,0.7551511526107788,0.7551511526107788,"{""battery"": 0.7551511526107788}",4.51
R090,Love the color and finish — stands out without being ostentatious.,positive,0.9547942876815796,0.9547942876815796,{},4.91
R091,Runs smoothly with no overheating — reliable performance for daily tasks.,positive,0.8726766705513,0.8726766705513,"{""performance"": 0.8726766705513}",4.75
R092,Excellent phone — feels worth the price and performs consistently.,positive,0.9664400815963745,0.9664400815963745,"{""price"": 0.9664400815963745}",4.93
R093,Sharp screen and vivid colors make media really enjoyable.,positive,0.9740773439407349,0.9740773439407349,"{""screen"": 0.9740773439407349}",4.95
R094,Durable build and premium materials — holds up well.,positive,0.9132093787193298,0.9132093787193298,{},4.83
R095,Battery charges fully in under an hour most of the time — very convenient.,positive,0.9238376021385193,0.9238376021385193,"{""battery"": 0.9238376021385193}",4.85
R096,Handles heavy tasks easily — performance remains top-notch.,positive,0.8719664216041565,0.8719664216041565,"{""performance"": 0.8719664216041565}",4.74
R097,Perfect size for everyday use and fits comfortably in hand.,positive,0.9307990074157715,0.9307990074157715,{},4.86
R098,Loving the overall experience — dependable and well-rounded phone.,positive,0.9860755801200867,0.9860755801200867,{},4.97
R099,Camera performance is consistently outstanding across modes.,positive,0.9324895739555359,0.9324895739555359,"{""camera"": 0.9324895739555359, ""performance"": 0.9324895739555359}",4.86
R100,Very satisfied — feature set and battery life meet my daily needs.,positive,0.9757831692695618,0.9757831692695618,"{""battery"": 0.9757831692695618}",4.95
